[2026-06-10 10:16:13.749] [info] event: init_pose, value: 0
[2026-06-10 10:16:36.014] [info] event: run_policy, value: 0
[2026-06-10 10:16:36.018] [info] event: set_vel_all, value: 98296310543680
[2026-06-10 10:16:36.028] [info] event: set_vel_all, value: 98296310543744
[2026-06-10 10:16:36.053] [info] event: set_vel_all, value: 98296310543808
[2026-06-10 10:16:36.074] [info] event: set_vel_all, value: 98296310543872
[2026-06-10 10:16:36.085] [info] event: set_vel_all, value: 98296310543936
[2026-06-10 10:16:36.095] [info] event: set_vel_all, value: 98296310544000
[2026-06-10 10:16:36.106] [info] event: set_vel_all, value: 98296310544064
[2026-06-10 10:16:36.115] [info] event: set_vel_all, value: 98296310544128
[2026-06-10 10:16:36.125] [info] event: set_vel_all, value: 98296310544192
[2026-06-10 10:16:36.171] [info] event: set_vel_all, value: 98296310544256
[2026-06-10 10:16:36.190] [info] event: set_vel_all, value: 98296310543680
[2026-06-10 10:16:36.192] [info] event: set_vel_all, value: 98296310543744
[2026-06-10 10:16:36.203] [info] event: set_vel_all, value: 98296310543808
[2026-06-10 10:16:36.213] [info] event: set_vel_all, value: 98296310543872
[2026-06-10 10:16:36.226] [info] event: set_vel_all, value: 98296310543936
[2026-06-10 10:16:36.234] [info] event: set_vel_all, value: 98296310544000
[2026-06-10 10:16:36.260] [info] event: set_vel_all, value: 98296310544064
[2026-06-10 10:16:36.279] [info] event: set_vel_all, value: 98296310544128
[2026-06-10 10:16:36.279] [info] event: set_vel_all, value: 98296310544192
[2026-06-10 10:16:36.290] [info] event: set_vel_all, value: 98296310544256
[2026-06-10 10:16:36.300] [info] event: set_vel_all, value: 98296310543680
[2026-06-10 10:16:36.311] [info] event: set_vel_all, value: 98296310543744
[2026-06-10 10:16:36.319] [info] event: set_vel_all, value: 98296310543808
[2026-06-10 10:16:36.334] [info] event: set_vel_all, value: 98296310543872
[2026-06-10 10:16:36.353] [info] event: set_vel_all, value: 98296310543936
